title,author,length
A Crown of Petals and Ice,"Shannon Mayer,Kelly St Clare",Length: 8 hrs and 53 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
Traction,Gino Wickman,Length: 6 hrs and 56 mins
Down the Rabbit Hole,Holly Madison,Length: 10 hrs and 51 mins
Drop Acid,David Perlmutter MD,Length: 9 hrs and 12 mins
Dokeshi March,Dakota Krout,Length: 10 hrs and 24 mins
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.",Length: 8 hrs and 16 mins
Profit First,Mike Michalowicz,Length: 8 hrs and 35 mins
Enter System,Tom Larcombe,Length: 12 hrs and 59 mins
Something to Hide,Elizabeth George,Length: 21 hrs and 28 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins
Bright Line Eating,Susan Peirce Thompson PhD,Length: 9 hrs and 7 mins
The Money Revolution,Richard Duncan,Length: 15 hrs and 21 mins
Start with Why,Simon Sinek,Length: 7 hrs and 18 mins
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins
The Book of Cold Cases,Simone St. James,Length: 11 hrs
Only a Monster,Vanessa Len,Length: 11 hrs and 36 mins
We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins
When I Say Yes,Lisa Renee Jones,Length: 6 hrs and 14 mins
Wayward Galaxy 3,"Jason Anspach,J.N. Chaney",Length: 13 hrs and 11 mins
Mountain Man: 2nd Prequel,Keith C. Blackmore,Length: 12 hrs and 12 mins
Rock Paper Scissors,Alice Feeney,Length: 10 hrs and 22 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Put Me in Detention,Meghan Quinn,Length: 14 hrs and 4 mins
The Happiness Advantage,Shawn Achor,Length: 7 hrs and 19 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins
