title,author,length
End of Days,Brad Taylor,Length: 12 hrs and 10 mins
Crossroads of Twilight,Robert Jordan,Length: 26 hrs and 4 mins
Knife of Dreams,Robert Jordan,Length: 32 hrs and 19 mins
The Raven Spell,Luanne G. Smith,Length: 8 hrs and 54 mins
Red Light Therapy,Mitchell Forster,Length: 3 hrs and 41 mins
The Demon Tide,Laurie Forest,Length: 22 hrs and 34 mins
The Guns of August,Barbara W. Tuchman,Length: 19 hrs and 9 mins
"Fablehaven, Book 1",Brandon Mull,Length: 9 hrs and 13 mins
City of Bones,Cassandra Clare,Length: 13 hrs and 44 mins
Honey Roasted,Cleo Coyle,Length: 10 hrs and 8 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
The Hawthorne Legacy,Jennifer Lynn Barnes,Length: 10 hrs and 24 mins
Naked in Death,J. D. Robb,Length: 10 hrs and 17 mins
The Institute,Stephen King,Length: 18 hrs and 59 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
All Things Bright and Beautiful,James Herriot,Length: 13 hrs and 25 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
How to Talk So Kids Will Listen & Listen So Kids Will Talk,"Adele Faber,Elaine Mazlish",Length: 8 hrs and 24 mins
The Perfect Run,"Maxime J. Durand,Void Herald",Length: 17 hrs and 58 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Snow Crash,Neal Stephenson,Length: 17 hrs and 3 mins
The Man Who Died Twice,Richard Osman,Length: 11 hrs and 49 mins
The Perfect Run 3,"Maxime J. Durand,Void Herald",Length: 17 hrs and 40 mins
Terminus,D.J. Molles,Length: 13 hrs and 8 mins
A Tree Grows in Brooklyn,Betty Smith,Length: 14 hrs and 55 mins
Fallout,Craig Alanson,Length: 22 hrs and 29 mins
Rebecca,Daphné du Maurier,Length: 14 hrs and 48 mins
The Sentence,Louise Erdrich,Length: 11 hrs and 49 mins
Ordinary Grace,William Kent Krueger,Length: 10 hrs and 59 mins
The Stranger Beside Me,Ann Rule,Length: 18 hrs and 29 mins
For Whom the Bell Tolls,Ernest Hemingway,Length: 16 hrs and 17 mins
Behind Closed Doors,B. A. Paris,Length: 8 hrs and 30 mins
The Art of Living,Thích Nhất Hạnh,Length: 5 hrs and 1 min
The Unplugged Alpha,Richard Cooper,Length: 4 hrs and 36 mins
The Almanack of Naval Ravikant,"Eric Jorgenson,Tim Ferriss",Length: 4 hrs and 53 mins
Court of Assassins,Philip C. Quaintrell,Length: 15 hrs and 43 mins
A Shadow in the Ember,Jennifer L. Armentrout,Length: 25 hrs and 7 mins
False Witness,Karin Slaughter,Length: 18 hrs and 39 mins
Hawaii,"James A. Michener,Steve Berry - introduction",Length: 51 hrs and 56 mins
A Confederacy of Dunces,John Kennedy Toole,Length: 13 hrs and 32 mins
Super Gut,William Davis MD,Length: 8 hrs and 22 mins
The Smuggler's Chase,Cap Daniels,Length: 9 hrs and 21 mins
The Shining,Stephen King,Length: 15 hrs and 50 mins
Reign of Madness,Kel Kade,Length: 19 hrs and 21 mins
HWPO,"Mat Fraser,Spenser Mestel - contributor",Length: 4 hrs and 26 mins
Anchored,"Deb Dana,Stephen Porges PhD - Foreword by",Length: 6 hrs and 22 mins
The Paper Palace,Miranda Cowley Heller,Length: 12 hrs and 37 mins
Defiance of the Fall 3,"TheFirstDefier,JF Brink",Length: 24 hrs and 34 mins
Between the World and Me,Ta-Nehisi Coates,Length: 3 hrs and 35 mins
Oh Crap! Potty Training,Jamie Glowacki,Length: 8 hrs and 4 mins
A Thousand Splendid Suns,Khaled Hosseini,Length: 11 hrs and 43 mins
The Power of Moments,"Chip Heath,Dan Heath",Length: 6 hrs and 24 mins
The Bell Jar,Sylvia Plath,Length: 7 hrs and 24 mins
Hillbilly Elegy,J. D. Vance,Length: 6 hrs and 49 mins
Designing Your Life,"Bill Burnett,Dave Evans",Length: 6 hrs and 18 mins
The TB12 Method,Tom Brady,Length: 6 hrs and 55 mins
Invisible Man,Ralph Ellison,Length: 18 hrs and 36 mins
The Affair,Lee Child,Length: 16 hrs and 3 mins
The Five Graces of Life and Leadership,Gary Burnison,Length: 1 hr and 19 mins
Orphan X,Gregg Hurwitz,Length: 11 hrs and 15 mins
WayMaker,Ann Voskamp,Length: 7 hrs and 30 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
A Knight of the Seven Kingdoms,George R. R. Martin,Length: 10 hrs
Peak Mind,Amishi P. Jha,Length: 9 hrs and 28 mins
There Is Nothing For You Here,Fiona Hill,Length: 15 hrs and 35 mins
Cytonic,Brandon Sanderson,Length: 13 hrs and 15 mins
Red Storm Rising,Tom Clancy,Length: 31 hrs and 12 mins
Uncompromising,Steven A. White,Length: 5 hrs and 37 mins
Crossroads,Jonathan Franzen,Length: 24 hrs and 57 mins
The Founders,Jimmy Soni,Length: 18 hrs and 25 mins
The Poet,Michael Connelly,Length: 15 hrs and 24 mins
Dead Beat,Jim Butcher,Length: 15 hrs and 7 mins
Letting Go,David R. Hawkins MD,Length: 12 hrs and 23 mins
Troubled Blood,Robert Galbraith,Length: 31 hrs and 51 mins
"Joe Ledger: Secret Missions, Volume One and Two",Jonathan Maberry,Length: 14 hrs and 2 mins
About Time,Jodi Taylor,Length: 10 hrs
The 15 Invaluable Laws of Growth,John C. Maxwell,Length: 7 hrs and 46 mins
Existentially Challenged,Yahtzee Croshaw,Length: 9 hrs and 10 mins
Nudge: The Final Edition,"Richard H. Thaler,Cass R. Sunstein",Length: 11 hrs and 33 mins
The Star King,Jack Vance,Length: 6 hrs and 51 mins
Chrysalis,Lincoln Child,Length: 10 hrs
Anxiety & Communication in Relationship,Violet Marrow,Length: 11 hrs and 22 mins
A Gilded Iron Blade,Kai Butler,Length: 13 hrs
Better Off Dead,"Lee Child,Andrew Child",Length: 9 hrs and 11 mins
When Breath Becomes Air,"Paul Kalanithi,Abraham Verghese - foreword",Length: 5 hrs and 35 mins
The Energy Bus,Jon Gordon,Length: 2 hrs and 39 mins
The Ideal Team Player,Patrick M. Lencioni,Length: 5 hrs and 3 mins
The Road,Cormac McCarthy,Length: 6 hrs and 39 mins
Tuesdays with Morrie,Mitch Albom,Length: 3 hrs and 42 mins
Always Someone's Monster,Lani Lynn Vale,Length: 5 hrs and 47 mins
Calamity,Brandon Sanderson,Length: 12 hrs and 18 mins
Rich as F*ck,Amanda Frances,Length: 6 hrs and 45 mins
El Libro Negro de las Horas,Eva García Sáenz de Urturi,Length: 9 hrs and 28 mins
Weakness,Aaron Oster,Length: 16 hrs and 25 mins
Prodigies,Apollos Thorne,Length: 35 hrs and 2 mins
Wish You Were Gone,Kieran Scott,Length: 10 hrs and 23 mins
This Is How They Tell Me the World Ends,Nicole Perlroth,Length: 18 hrs and 32 mins
"The Gifts of Imperfection, 10th Anniversary Edition",Brené Brown,Length: 4 hrs and 31 mins
Leviathan Falls,James S.A. Corey,Length: 19 hrs and 40 mins
Metaverse and NFTs Investing Bible,George Buterin,Length: 10 hrs and 27 mins
Edge of Eternity,Ken Follett,Length: 36 hrs and 51 mins
What If? 2,Randall Munroe,Length: 8 hrs
A Brief History of Time,Stephen Hawking,Length: 5 hrs and 46 mins
The Chief’s Chief,Mark Frank Meadows,Length: 7 hrs and 49 mins
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins
Trump: The Art of the Deal,"Donald J. Trump,Tony Schwartz",Length: 9 hrs and 59 mins
The Love Songs of W.E.B. Du Bois,Honoree Fanonne Jeffers,Length: 29 hrs and 49 mins
The Prince's War,Christopher G. Nuttall,Length: 11 hrs and 25 mins
Never,Ken Follett,Length: 23 hrs and 58 mins
"Woke, Inc.",Vivek Ramaswamy,Length: 10 hrs and 27 mins
Tao Te Ching,"Stephen Mitchell,Lao Tzu",Length: 1 hr and 41 mins
Twilight Tenth Anniversary/Life and Death Dual Edition,Stephenie Meyer,Length: 28 hrs and 56 mins
Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,Length: 22 hrs and 31 mins
The Talisman,"Stephen King,Peter Straub",Length: 28 hrs
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD - foreword",Length: 15 hrs and 40 mins
The Ambulance Chaser,Brian Cuban,Length: 8 hrs and 53 mins
The Chronicles of Narnia Adult Box Set,C. S. Lewis,Length: 33 hrs and 45 mins
Metaverse Investing,Dylan Torres,Length: 3 hrs and 8 mins
Her Hidden Genius,Marie Benedict,Length: 8 hrs and 45 mins
Getting to Neutral,"Trevor Moawad,Andy Staples",Length: 6 hrs and 18 mins
Fierce Conversations,Susan Craig Scott M.D.,Length: 13 hrs and 33 mins
Conversations with Friends,Sally Rooney,Length: 8 hrs and 21 mins
Set for Life,Scott Trench,Length: 8 hrs and 24 mins
Three Sisters,Heather Morris,Length: 13 hrs and 6 mins
Different Seasons,Stephen King,Length: 20 hrs and 15 mins
You Are Radically Loved,Rosie Acosta,Length: 4 hrs and 25 mins
MeatEater's Campfire Stories: Close Calls,Steven Rinella,Length: 5 hrs and 15 mins
Carnal Urges,J.T. Geissinger,Length: 9 hrs and 33 mins
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins
Behind Her Eyes,Sarah Pinborough,Length: 11 hrs and 29 mins
Savage Road,Christine Feehan,Length: 19 hrs and 39 mins
Sabbat Martyr,Dan Abnett,Length: 10 hrs and 35 mins
Dukes of Harem Anthology,"Xavier Thorn,Ajax Lygan,Patrick Underwood,D. Levesque,Charles Arthur Monteath-Carr,Diesel Jester,Cole Barton,Shawn Keys,Garrett A Carter,George Barret",Length: 20 hrs and 17 mins
To Whom It May Concern,A.M. Johnson,Length: 2 hrs and 40 mins
Kenobi: Star Wars Legends,John Jackson Miller,Length: 13 hrs and 36 mins
Dead Silence,S.A. Barnes,Length: 12 hrs and 50 mins
The Trivia Night,Ali Lowe,Length: 10 hrs and 16 mins
Emma y las otras señoras del narco [Emma and the Other Narco Ladies],Anabel Hernandez,Length: 8 hrs and 56 mins
Embers,N.C. Reed,Length: 10 hrs and 10 mins
Cloud Cuckoo Land,Anthony Doerr,Length: 14 hrs and 52 mins
Broken Ties,Shannon Baker,Length: 8 hrs and 35 mins
Iris,Eden Finley,Length: 6 hrs and 47 mins
Harlem Shuffle,Colson Whitehead,Length: 10 hrs and 35 mins
England: From the Fall of Rome to the Norman Conquest,"Jennifer Paxton,The Great Courses",Length: 11 hrs and 59 mins
The Recovery Agent,Janet Evanovich,Length: 7 hrs and 26 mins
Fool Moon,Jim Butcher,Length: 10 hrs and 6 mins
Grave Peril,Jim Butcher,Length: 11 hrs and 55 mins
White Night,Jim Butcher,Length: 14 hrs and 12 mins
The Last Enforcer,"Charles Oakley,Frank Isola",Length: 9 hrs and 27 mins
Sankofa,Chibundu Onuzo,Length: 9 hrs and 2 mins
Mind Bullet,Jeremy Robinson,Length: 11 hrs and 42 mins
Lord January,Dakota Krout,Length: 11 hrs and 57 mins
Captivate,Vanessa Van Edwards,Length: 7 hrs and 28 mins
"The Story Audio Bible - New International Version, NIV: The Bible as One Continuing Story of God and His People",Zondervan Bibles - editor,Length: 16 hrs and 15 mins
Backyard Starship,"J.N. Chaney,Terry Maggert",Length: 12 hrs and 58 mins
Rising Tiger,Brad Thor,Length: 10 hrs and 30 mins
Out of Your Mind,Alan Watts,Length: 14 hrs and 22 mins
The Alloy of Law,Brandon Sanderson,Length: 10 hrs and 48 mins
Star Wars: Heir to the Empire,Timothy Zahn,Length: 13 hrs and 9 mins
33 Strategies of War,Robert Greene,Length: 27 hrs and 30 mins
Off to Be the Wizard,Scott Meyer,Length: 10 hrs and 45 mins
An Old Man's Journey: A LitRPG Adventure,Gregory Allanther,Length: 10 hrs and 43 mins
Call Me by Your Name,André Aciman,Length: 7 hrs and 48 mins
Predictably Irrational,Dan Ariely,Length: 7 hrs and 22 mins
A Life in Parts,Bryan Cranston,Length: 8 hrs and 53 mins
Number the Stars,Lois Lowry,Length: 2 hrs and 45 mins
A Counterfeit Suitor,Darcie Wilde,Length: 13 hrs and 3 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,Length: 25 hrs and 22 mins
Doctor Sleep,Stephen King,Length: 18 hrs and 34 mins
The Midnight Library,Matt Haig,Length: 8 hrs and 50 mins
The Shadow Rising,Robert Jordan,Length: 41 hrs and 13 mins
Brave New World,Aldous Huxley,Length: 8 hrs
The Bands of Mourning,Brandon Sanderson,Length: 14 hrs and 41 mins
Wizard's First Rule,Terry Goodkind,Length: 34 hrs and 6 mins
Death Masks,Jim Butcher,Length: 11 hrs and 17 mins
Heinrich Himmler,"Peter Longerich,Jeremy Noakes - translator,Lesley Sharp - translator",Length: 35 hrs and 28 mins
Free the Darkness,Kel Kade,Length: 16 hrs and 34 mins
The Power Law,Sebastian Mallaby,Length: 16 hrs and 53 mins
Contagious,Jonah Berger,Length: 6 hrs and 50 mins
Scaling Up,Verne Harnish,Length: 8 hrs and 49 mins
The Checklist Manifesto,Atul Gawande,Length: 6 hrs and 9 mins
Solve for Happy,Mo Gawdat,Length: 11 hrs and 12 mins
Anne of Green Gables,Lucy Maud Montgomery,Length: 9 hrs and 22 mins
Holes,Louis Sachar,Length: 4 hrs and 30 mins
Gunmetal Gray,Mark Greaney,Length: 16 hrs and 54 mins
The Code Breaker,Walter Isaacson,Length: 16 hrs and 4 mins
The Pillars of the Earth,Ken Follett,Length: 40 hrs and 56 mins
Washington,Ron Chernow,Length: 41 hrs and 54 mins
The Lobotomist's Wife,Samantha Greene Woodruff,Length: 9 hrs and 4 mins
These Precious Days,Ann Patchett,Length: 11 hrs and 14 mins
A Hunter-Gatherer's Guide to the 21st Century,"Heather Heying,Bret Weinstein",Length: 8 hrs and 17 mins
"Friends, Lovers and the Big Terrible Thing",Matthew Perry,Length: 10 hrs
Betrayal,Jonathan Karl,Length: 10 hrs and 32 mins
Read Until You Understand,Farah Jasmine Griffin,Length: 7 hrs and 56 mins
The Innocent: A Novel,David Baldacci,Length: 12 hrs and 14 mins
Kragnos Avatar of Destruction,David Guymer,Length: 12 hrs and 14 mins
Black House,"Stephen King,Peter Straub",Length: 26 hrs and 27 mins
Laptop from Hell,Miranda Devine,Length: 7 hrs and 5 mins
Crisis of Faith,Phil Kelly,Length: 12 hrs and 1 min
The Selection,Kiera Cass,Length: 8 hrs and 7 mins
American Kingpin,Nick Bilton,Length: 12 hrs and 14 mins
Gwendy's Button Box,"Stephen King,Richard Chizmar",Length: 2 hrs and 42 mins
Crying in H Mart,Michelle Zauner,Length: 7 hrs and 23 mins
The Dragon Reborn,Robert Jordan,Length: 24 hrs and 48 mins
The Bible Unearthed,"Neil Asher Silberman,Israel Finkelstein",Length: 12 hrs and 51 mins
Cultish,Amanda Montell,Length: 8 hrs and 21 mins
Matrix,Lauren Groff,Length: 8 hrs and 51 mins
The Widow,K. L. Slater,Length: 9 hrs and 51 mins
"To Sir Phillip, with Love",Julia Quinn,Length: 11 hrs and 10 mins
Devil House,John Darnielle,Length: 11 hrs and 17 mins
American Psycho,Bret Easton Ellis,Length: 16 hrs and 29 mins
Refugee,Alan Gratz,Length: 7 hrs and 37 mins
Food of the Gods,Terence McKenna,Length: 8 hrs and 51 mins
Why Are All the Black Kids Sitting Together in the Cafeteria?,Beverly Daniel Tatum,Length: 13 hrs and 27 mins
The Art of War,Sun Tzu,Length: 1 hr and 7 mins
The Books of Jacob,"Olga Tokarczuk,Jennifer Croft - translator",Length: 35 hrs and 37 mins
One Night on the Island,Josie Silver,Length: 10 hrs and 21 mins
Barbarian's Bride,Ruby Dixon,Length: 5 hrs and 9 mins
The Silkworm,Robert Galbraith,Length: 17 hrs and 17 mins
Career of Evil,Robert Galbraith,Length: 17 hrs and 57 mins
The Left Hand of Darkness,Ursula K. Le Guin,Length: 9 hrs and 39 mins
Made to Stick,"Chip Heath,Dan Heath",Length: 8 hrs and 37 mins
Beyond Order,Jordan B. Peterson,Length: 13 hrs and 11 mins
Shadows of Self,Brandon Sanderson,Length: 12 hrs and 37 mins
Blood Rites,Jim Butcher,Length: 13 hrs and 5 mins
Educated,Tara Westover,Length: 12 hrs and 10 mins
Bringing Up Bébé,Pamela Druckerman,Length: 9 hrs and 8 mins
Hell Divers II: Ghosts,Nicholas Sansbury Smith,Length: 8 hrs and 13 mins
La historia que te cuentas [The Story You Tell Yourself],Paola Herrera,Length: 6 hrs and 49 mins
Star Wars: Thrawn Ascendancy (Book III: Lesser Evil),Timothy Zahn,Length: 23 hrs and 13 mins
Vladimir,Julia May Jonas,Length: 9 hrs and 40 mins
The Ghost Brigades,John Scalzi,Length: 10 hrs and 25 mins
Their Eyes Were Watching God,Zora Neale Hurston,Length: 6 hrs and 44 mins
Just Mercy (Movie Tie-In Edition),Bryan Stevenson,Length: 11 hrs and 11 mins
Punk 57,Penelope Douglas,Length: 10 hrs and 7 mins
Freakonomics,"Steven D. Levitt,Stephen J. Dubner",Length: 7 hrs and 51 mins
Feeling Good,David D. Burns MD,Length: 13 hrs and 20 mins
The Things They Carried,Tim O'Brien,Length: 7 hrs and 47 mins
In Order to Live,Yeonmi Park,Length: 9 hrs and 37 mins
Sharp Objects,Gillian Flynn,Length: 9 hrs and 34 mins
The Shack,William P. Young,Length: 9 hrs and 15 mins
A Memory of Light,"Robert Jordan,Brandon Sanderson",Length: 41 hrs and 47 mins
Towers of Midnight,"Robert Jordan,Brandon Sanderson",Length: 38 hrs and 23 mins
The Asset,Saul Herzog,Length: 12 hrs and 39 mins
The Sum of All Fears,Tom Clancy,Length: 37 hrs and 59 mins
Seventh Realm Part 1,Michael Chatfield,Length: 23 hrs and 21 mins
A Promised Land,Barack Obama,Length: 29 hrs and 10 mins
Firefight,Brandon Sanderson,Length: 12 hrs and 5 mins
The Hot Zone (The Complete Series),Carly Phillips,Length: 33 hrs and 43 mins
Summer Knight,Jim Butcher,Length: 11 hrs and 13 mins
Troublemaker,Leah Remini,Length: 7 hrs and 12 mins
A Malevolent Connection,Lynn Messina,Length: 8 hrs and 38 mins
The Speed of Trust,Stephen M. R. Covey,Length: 12 hrs and 13 mins
Imagine Heaven,John Burke,Length: 10 hrs and 30 mins
The Mists of Avalon,Marion Zimmer Bradley,Length: 50 hrs and 53 mins
The Fires of Heaven,Robert Jordan,Length: 36 hrs and 27 mins
Brain-Body Parenting,Mona Delahooke,Length: 10 hrs and 14 mins
The Revenge of Power,Moisés Naím,Length: 11 hrs and 11 mins
Soulbrand,Andrew Rowe,Length: 26 hrs and 13 mins
Vicious,V. E. Schwab,Length: 9 hrs and 23 mins
Our Country Friends,Gary Shteyngart,Length: 12 hrs and 15 mins
Egotistical Puckboy,"Eden Finley,Saxon James",Length: 7 hrs and 36 mins
The Emperor's Finest,Sandy Mitchell,Length: 10 hrs and 14 mins
Why Does He Do That?,Lundy Bancroft,Length: 13 hrs and 32 mins
The Color of Law,Richard Rothstein,Length: 9 hrs and 32 mins
The Last Black Unicorn,Tiffany Haddish,Length: 6 hrs and 29 mins
The Advantage,Patrick Lencioni,Length: 5 hrs and 25 mins
Summerhaven,Tiffany Odekirk,Length: 9 hrs and 44 mins
A Deadly Bone to Pick,Peggy Rothschild,Length: 8 hrs and 30 mins
Miracle and Wonder,"Malcolm Gladwell,Bruce Headlam",Length: 5 hrs and 6 mins
Sunreach,"Brandon Sanderson,Janci Patterson",Length: 5 hrs and 21 mins
Mephisto's Magic Online Omnibus,Christopher Johns,Length: 30 hrs and 6 mins
The Haunting of Hill House,Shirley Jackson,Length: 7 hrs and 27 mins
Master and Commander,Patrick O'Brian,Length: 16 hrs and 45 mins
It's Good to Be a Man,"Michael Foster,Dominic Bnonn Tennant",Length: 4 hrs and 57 mins
The Underground Railroad (Television Tie-in),Colson Whitehead,Length: 10 hrs and 43 mins
One Flew Over the Cuckoo's Nest,"Ken Kesey,Robert Faggen - introduction",Length: 10 hrs and 32 mins
The Great Influenza,John M. Barry,Length: 19 hrs and 26 mins
Ruthless Creatures,J.T. Geissinger,Length: 10 hrs and 25 mins
The Love Dare,"Stephen Kendrick,Alex Kendrick",Length: 5 hrs and 48 mins
A World Undone,G. J. Meyer,Length: 27 hrs and 58 mins
The Anomaly,"Hervé Le Tellier,Adriana Hunter - translator",Length: 10 hrs and 36 mins
The Personal MBA: Master the Art of Business,Josh Kaufman,Length: 15 hrs and 25 mins
Red Notice,Bill Browder,Length: 14 hrs and 7 mins
Checkmate,Michael Anderle,Length: 14 hrs and 43 mins
The Easy Way to Stop Smoking,Allen Carr,Length: 5 hrs and 59 mins
The Omnivore's Dilemma,Michael Pollan,Length: 15 hrs and 53 mins
The Game,Neil Strauss,Length: 9 hrs and 27 mins
You,Caroline Kepnes,Length: 11 hrs and 6 mins
Nothing to Lose,Lee Child,Length: 14 hrs and 25 mins
Anna Karenina,Leo Tolstoy,Length: 35 hrs and 35 mins
Complexity,Melanie Mitchell,Length: 11 hrs and 24 mins
Dawn of Wonder,Jonathan Renshaw,Length: 29 hrs and 31 mins
Way of the Wolf,Jordan Belfort,Length: 7 hrs and 28 mins
The Vampire Lestat,Anne Rice,Length: 21 hrs and 40 mins
Manaborn 2,Cassius Lange,Length: 12 hrs and 29 mins
Upper Hand,Sherrell Dorsey,Length: 7 hrs and 1 min
Couples Therapy,Elvira Hoffman,Length: 7 hrs and 3 mins
Titan,Ron Chernow,Length: 35 hrs and 3 mins
Decoding Jung's Metaphysics,Bernardo Kastrup,Length: 4 hrs and 47 mins
The Last House on Needless Street,Catriona Ward,Length: 12 hrs
Live No Lies,John Mark Comer,Length: 7 hrs and 12 mins
Echoes in Death,J. D. Robb,Length: 13 hrs and 43 mins
Red Country,Joe Abercrombie,Length: 19 hrs and 52 mins
The Empath's Survival Guide,Judith Orloff,Length: 7 hrs and 15 mins
Be Thou My Good,"Joseph Marcia,Argentorum",Length: 8 hrs and 34 mins
Dilla Time,"Dan Charnas,Jeff Peretz - contributor",Length: 14 hrs and 52 mins
The Fifth Agreement,don Miguel Ruiz,Length: 4 hrs and 25 mins
Gods and Men,"Christopher Hopper,J.N. Chaney",Length: 11 hrs and 54 mins
Crave,Tracy Wolff,Length: 14 hrs and 56 mins
Slaughterhouse-Five,Kurt Vonnegut,Length: 5 hrs and 13 mins
Fervent,Priscilla Shirer,Length: 4 hrs and 25 mins
Kindred,Octavia E. Butler,Length: 10 hrs and 55 mins
Into the Wild,Jon Krakauer,Length: 7 hrs and 5 mins
A Darker Shade of Magic,V. E. Schwab,Length: 11 hrs and 34 mins
The Road Less Traveled,M. Scott Peck M.D.,Length: 4 hrs and 23 mins
"Changes: The Dresden Files, Book 12",Jim Butcher,Length: 15 hrs and 26 mins
Siege and Storm,Leigh Bardugo,Length: 11 hrs and 49 mins
Pretense,Tara Grayce,Length: 13 hrs and 39 mins
Codependent No More & Anxiety in Relationship,Gwenda Mya,Length: 20 hrs and 23 mins
Playmakers,Mike Florio,Length: 12 hrs and 12 mins
Vicious,V. E. Schwab,Length: 9 hrs and 23 mins
The Purpose Driven Life,Rick Warren,Length: 9 hrs and 38 mins
Eleanor Oliphant Is Completely Fine,Gail Honeyman,Length: 11 hrs and 2 mins
The Last King of America,Andrew Roberts,Length: 36 hrs and 2 mins
"I, Robot",Isaac Asimov,Length: 8 hrs and 20 mins
The Great Hunt,Robert Jordan,Length: 26 hrs and 34 mins
The Fault in Our Stars,John Green,Length: 7 hrs and 14 mins
Flow,Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
Medical Apartheid,Harriet A. Washington,Length: 19 hrs and 2 mins
Lean In,Sheryl Sandberg,Length: 6 hrs and 27 mins
LifePass,Payal Kadakia,Length: 4 hrs and 57 mins
The Girl with the Lower Back Tattoo,Amy Schumer,Length: 8 hrs and 1 min
The Martian,Andy Weir,Length: 10 hrs and 59 mins
Practical Magic,Alice Hoffman,Length: 9 hrs and 12 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 22 hrs and 17 mins
Starship Troopers,Robert A. Heinlein,Length: 9 hrs and 52 mins
It Could Happen Here,Jonathan Greenblatt,Length: 8 hrs and 34 mins
The Celestine Prophecy,James Redfield,Length: 8 hrs and 27 mins
Pussy,Regena Thomashauer,Length: 9 hrs and 32 mins
The Fifth Surgeon,Faith Prize,Length: 9 hrs and 42 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 21 hrs and 27 mins
Song of Susannah,Stephen King,Length: 14 hrs and 9 mins
Salem's Lot,Stephen King,Length: 17 hrs and 36 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
The Viscount Who Loved Me,Julia Quinn,Length: 12 hrs and 23 mins
Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,Length: 13 hrs and 21 mins
You Are a Badass at Making Money,Jen Sincero,Length: 6 hrs and 59 mins
All These Worlds,Dennis E. Taylor,Length: 7 hrs and 56 mins
Death's End,"Cixin Liu,Ken Liu - translator",Length: 28 hrs and 51 mins
The Things We Do for Love,Kristin Hannah,Length: 13 hrs
The Daily Stoic,"Ryan Holiday,Stephen Hanselman",Length: 10 hrs and 6 mins
Untangled,Lisa Damour,Length: 8 hrs and 37 mins
The Hidden Life of Trees,Peter Wohlleben,Length: 7 hrs and 33 mins
Neuromancer,William Gibson,Length: 10 hrs and 31 mins
This Is How It Always Is,Laurie Frankel,Length: 11 hrs
"Authentically, Uniquely You",Joyce Meyer,Length: 7 hrs and 10 mins
The Blinding Knife,Brent Weeks,Length: 24 hrs and 14 mins
Team of Teams,"Gen. Stanley McChrystal,Tantum Collins,David Silverman,Chris Fussell",Length: 12 hrs and 6 mins
Pretty Things,Janelle Brown,Length: 16 hrs and 6 mins
How to Win Friends and Influence People in the Digital Age,Dale Carnegie & Associates,Length: 7 hrs and 6 mins
The Unseen Realm,Dr. Michael S. Heiser,Length: 15 hrs and 43 mins
Good Leaders Ask Great Questions,John C. Maxwell,Length: 8 hrs and 17 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 28 mins
The Last Tribe,Brad Manuel,Length: 22 hrs and 42 mins
Invasion,K.F. Breene,Length: 9 hrs and 7 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 24 hrs
It's Your Ship,D. Michael Abrashoff,Length: 6 hrs and 24 mins
"The Black Ice: Harry Bosch Series, Book 2",Michael Connelly,Length: 11 hrs and 38 mins
13 Things Mentally Strong People Don't Do,Amy Morin,Length: 6 hrs and 36 mins
The Enigma,Jodi Ellen Malpas,Length: 17 hrs and 33 mins
Gone Tomorrow,Lee Child,Length: 14 hrs and 47 mins
Xenocide,Orson Scott Card,Length: 20 hrs and 10 mins
The Judge's List,John Grisham,Length: 11 hrs and 36 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 13 hrs and 10 mins
The 15 Commitments of Conscious Leadership,"Jim Dethmer,Diana Chapman,Kaley Klemp",Length: 7 hrs and 53 mins
Turn Coat,Jim Butcher,Length: 14 hrs and 36 mins
1Q84,"Haruki Murakami,Jay Rubin - translator,Philip Gabriel - translator",Length: 46 hrs and 45 mins
Emotional Intelligence,Daniel Goleman,Length: 13 hrs and 32 mins
"Creativity, Inc.","Ed Catmull,Amy Wallace",Length: 12 hrs and 52 mins
What I Know for Sure,Oprah Winfrey,Length: 3 hrs and 53 mins
The Hating Game,Sally Thorne,Length: 11 hrs and 29 mins
Spellmonger,Terry Mancour,Length: 18 hrs and 22 mins
Mastery,Robert Greene,Length: 16 hrs and 9 mins
"The Lion, the Witch, and the Wardrobe",C. S. Lewis,Length: 4 hrs and 21 mins
Big Little Lies,Liane Moriarty,Length: 15 hrs and 55 mins
